CID,NDVI,LST
1,0.14515,50.1587982
1,0.208755,42.9365005
1,0.200647,58.300499
1,0.155275,51.8814011
1,0.194823,46.3955002
1,0.133308,57.6134987
1,0.175393,51.167099
1,0.266104,51.0303993
1,0.15835,52.739399
1,0.344408,42.2408981
1,0.245147,51.1772995
1,0.15551,51.4678993
1,0.317834,45.7084999
1,0.100341,51.652401
1,0.145536,49.0546989
1,0.193023,52.7667007
1,0.245685,52.1515007
1,0.307488,47.2739983
1,0.114168,52.219799
1,0.193431,48.928299
1,0.218406,55.0601997
1,0.159113,50.5399017
1,0.0479779,47.9301987
1,0.0950535,52.8146019
1,0.170938,51.214901
1,0.0346591,51.4337006
1,0.244977,47.0312996
1,0.194004,51.4986
1,0.161397,51.5635986
1,0.0750829,51.1910019
1,0.152456,54.0861015
1,0.231336,51.0405998
1,0.292314,45.2983017
1,0.223368,48.7658997
1,0.289476,50.2681999
1,0.0596165,55.8395004
1,0.209259,52.0181999
1,0.185583,53.6794014
1,0.301701,46.3921013
1,0.0528669,54.1749992
1,0.233719,43.6458015
1,0.220752,49.3487015
1,0.284911,51.8061981
1,0.240335,50.1007004
1,0.138271,51.4986
1,0.214059,53.7443008
1,0.237264,50.6441002
1,0.137613,47.6618996
1,0.143402,56.1026993
1,0.226446,49.0239983
1,0.170376,51.4712982
1,0.198343,48.9454002
1,0.113579,50.8185005
1,0.157456,51.0098991
1,0.0766865,47.1971016
1,0.151582,50.2971992
1,0.0589484,52.2164001
1,0.236974,54.5303993
1,0.0856914,42.0615005
1,0.231909,47.1884995
1,0.287511,49.9297981
1,0.232124,53.7374992
1,0.393164,44.1328011
1,0.167653,52.8488007
1,0.209905,51.0713997
1,0.173368,54.5816994
1,0.258272,48.2924995
1,0.23995,43.4166985
1,0.196666,49.8819008
1,0.211601,51.5362015
1,0.313577,44.2559013
1,0.162505,52.3872986
1,0.235993,47.9473
1,0.18542,51.4952011
1,0.295037,46.9286995
1,0.202261,50.1930008
